energy_code,climate_zone,surface_type,assembly_type,construction_name,ip name,si name,r value ip,r value si,is_duplicate,ip match,si match
ASHRAE_90_1_2007,2,Roof,Metal_Building,Metal Roof CZ2 R-35 |Metal Roof CZ2 R-6.2,Metal Roof CZ2 R-35 ,Metal Roof CZ2 R-6.2,35,6.2,false,true,true
ASHRAE_90_1_2007,2,Roof,Metal_Building,Metal Roof CZ2 R-40 |Metal Roof CZ2 R-7.1,Metal Roof CZ2 R-40 ,Metal Roof CZ2 R-7.1,40,7.1,false,true,true
ASHRAE_90_1_2007,2,Exterior_Walls,Mass,Mass Wall CZ2 R-12 |Mass Wall CZ2 R-2.0,Mass Wall CZ2 R-12 ,Mass Wall CZ2 R-2.0,12,2.0,false,true,true
ASHRAE_90_1_2007,2,Exterior_Walls,Mass,Mass Wall CZ2 R-17 |Mass Wall CZ2 R-2.9,Mass Wall CZ2 R-17 ,Mass Wall CZ2 R-2.9,17,2.9,false,true,true
ASHRAE_90_1_2007,2,Exterior_Walls,Mass,Mass Wall CZ2 R-22 |Mass Wall CZ2 R-3.8,Mass Wall CZ2 R-22 ,Mass Wall CZ2 R-3.8,22,3.8,false,true,true
ASHRAE_90_1_2007,2,Exterior_Walls,Mass,Mass Wall CZ2 R-27 |Mass Wall CZ2 R-4.7,Mass Wall CZ2 R-27 ,Mass Wall CZ2 R-4.7,27,4.7,false,true,true
ASHRAE_90_1_2007,2,Exterior_Walls,Metal_Building,Metal Wall CZ2 R-14 |Metal Wall CZ2 R-2.4,Metal Wall CZ2 R-14 ,Metal Wall CZ2 R-2.4,14,2.4,false,true,true
ASHRAE_90_1_2007,2,Exterior_Walls,Metal_Building,Metal Wall CZ2 R-19 |Metal Wall CZ2 R-3.3,Metal Wall CZ2 R-19 ,Metal Wall CZ2 R-3.3,19,3.3,false,true,true
ASHRAE_90_1_2007,2,Exterior_Walls,Metal_Building,Metal Wall CZ2 R-24 |Metal Wall CZ2 R-4.2,Metal Wall CZ2 R-24 ,Metal Wall CZ2 R-4.2,24,4.2,false,true,true
ASHRAE_90_1_2007,2,Exterior_Walls,Metal_Building,Metal Wall CZ2 R-29 |Metal Wall CZ2 R-5.1,Metal Wall CZ2 R-29 ,Metal Wall CZ2 R-5.1,29,5.1,false,true,true
ASHRAE_90_1_2007,2,Exterior_Walls,Steel_Framed,Steel Framed Wall CZ2 R-13 |Steel Framed Wall CZ2 R-2.3,Steel Framed Wall CZ2 R-13 ,Steel Framed Wall CZ2 R-2.3,13,2.3,false,true,true
ASHRAE_90_1_2007,2,Exterior_Walls,Steel_Framed,Steel Framed Wall CZ2 R-18 |Steel Framed Wall CZ2 R-3.2,Steel Framed Wall CZ2 R-18 ,Steel Framed Wall CZ2 R-3.2,18,3.2,false,true,true
ASHRAE_90_1_2007,2,Exterior_Walls,Steel_Framed,Steel Framed Wall CZ2 R-23 |Steel Framed Wall CZ2 R-4.1,Steel Framed Wall CZ2 R-23 ,Steel Framed Wall CZ2 R-4.1,23,4.1,false,true,true
ASHRAE_90_1_2007,2,Exterior_Walls,Steel_Framed,Steel Framed Wall CZ2 R-28 |Steel Framed Wall CZ2 R-4.9,Steel Framed Wall CZ2 R-28 ,Steel Framed Wall CZ2 R-4.9,28,4.9,false,true,true
